,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling
121866,121867,Female,55,Returning,Business,Business,1823,5,0.0,4,4,1,3,4,4,4,3,4,4,4,4,4,4
45872,45873,Female,27,Returning,Business,Business,3169,49,34.0,3,3,2,2,3,1,2,3,2,2,5,3,2,1
68127,68128,Male,38,Returning,Personal,Economy,868,0,0.0,2,2,4,2,3,3,3,4,3,3,4,2,3,4
107574,107575,Male,57,Returning,Personal,Economy,1521,5,6.0,4,4,3,4,3,3,2,2,5,5,5,4,5,5
111096,111097,Female,22,First-time,Business,Business,197,24,17.0,5,5,3,5,2,3,2,5,4,4,5,5,4,4
16279,16280,Male,35,Returning,Personal,Economy,748,99,93.0,4,3,5,3,3,5,1,4,1,1,4,3,1,5
67319,67320,Female,8,Returning,Personal,Economy Plus,985,0,0.0,1,2,2,2,1,3,4,1,4,4,2,2,4,2
41284,41285,Female,29,Returning,Business,Business,542,0,0.0,3,5,3,4,5,1,5,3,5,5,5,5,5,4
76217,76218,Female,52,Returning,Business,Business,1399,20,14.0,4,4,3,4,4,3,4,4,3,3,3,4,3,3
63483,63484,Male,38,Returning,Personal,Economy Plus,337,0,10.0,5,2,5,2,3,5,1,4,1,1,4,2,1,5
96354,96355,Female,48,Returning,Personal,Economy,1609,0,0.0,5,3,5,4,2,2,4,3,4,4,2,3,2,2
34074,34075,Female,60,Returning,Personal,Economy,1674,66,43.0,4,3,2,4,4,5,3,3,4,4,5,3,5,5
90843,90844,Female,42,Returning,Business,Business,3499,0,0.0,2,2,3,5,2,4,5,4,3,5,4,2,4,4
6366,6367,Male,40,Returning,Business,Business,240,32,38.0,4,4,3,5,4,5,4,5,4,5,5,4,5,5
55466,55467,Female,48,First-time,Business,Business,1825,2,0.0,4,4,3,4,4,4,4,5,4,4,4,4,4,4
9190,9191,Male,43,Returning,Personal,Economy,363,0,0.0,5,1,3,1,5,5,2,3,2,2,4,1,2,4
26481,26482,Female,35,Returning,Business,Economy Plus,925,0,0.0,5,5,2,4,5,3,4,1,4,4,3,4,4,1
125125,125126,Male,42,Returning,Personal,Economy,361,0,0.0,3,1,3,1,3,3,3,3,3,3,4,1,3,4
1989,1990,Male,56,Returning,Personal,Economy,295,0,0.0,5,5,3,5,3,3,4,5,3,3,4,1,3,4
81656,81657,Male,46,Returning,Business,Business,3700,108,132.0,3,4,4,4,3,2,4,5,4,5,4,3,3,5
68726,68727,Male,22,Returning,Business,Economy Plus,175,0,0.0,2,2,2,3,2,1,1,5,3,3,3,3,3,4
105720,105721,Male,61,Returning,Business,Business,925,0,27.0,3,1,1,3,3,2,2,2,4,5,2,2,2,2
62919,62920,Female,26,Returning,Business,Business,3071,0,0.0,2,2,3,4,2,4,4,5,4,4,4,2,4,5
49042,49043,Female,36,Returning,Business,Business,337,16,23.0,5,5,2,3,5,4,3,4,4,5,4,5,4,4
47803,47804,Female,33,Returning,Business,Business,412,0,0.0,2,2,2,5,2,5,5,5,2,4,5,2,5,5
103692,103693,Male,23,First-time,Business,Economy,405,0,0.0,2,2,2,2,3,1,2,3,2,2,4,2,2,3
30245,30246,Female,36,Returning,Business,Economy Plus,896,7,4.0,3,3,5,4,3,1,4,5,4,4,3,4,4,2
34854,34855,Male,49,Returning,Personal,Economy,1826,3,0.0,5,3,3,3,3,4,1,2,1,1,5,3,1,3
58685,58686,Male,23,Returning,Personal,Business,299,4,11.0,5,3,5,3,3,4,4,3,4,4,4,3,4,4
33953,33954,Female,22,Returning,Personal,Economy Plus,1072,0,0.0,4,2,3,2,3,5,4,5,4,4,4,2,4,4
23701,23702,Female,40,Returning,Business,Economy,212,15,8.0,3,3,4,5,3,4,5,1,5,5,3,5,5,2
6912,6913,Male,27,Returning,Personal,Economy,265,0,0.0,4,1,3,1,3,1,5,5,5,5,1,1,5,4
79163,79164,Female,20,First-time,Business,Economy,1325,0,0.0,4,4,4,5,3,5,4,5,4,4,5,4,4,5
109620,109621,Male,41,Returning,Business,Business,829,0,0.0,2,2,5,4,2,5,5,5,3,2,5,2,5,5
9882,9883,Male,37,First-time,Business,Business,508,0,0.0,2,2,3,2,5,3,4,3,4,4,4,2,4,5
31896,31897,Female,30,First-time,Business,Economy Plus,2762,1,0.0,2,2,3,2,3,2,5,4,5,5,1,2,5,4
104699,104700,Female,39,Returning,Business,Business,3933,0,0.0,2,2,4,4,2,5,5,5,5,2,5,2,5,4
32010,32011,Male,36,Returning,Business,Economy,216,0,0.0,4,4,2,4,4,3,4,4,4,4,4,4,4,1
1218,1219,Male,20,Returning,Personal,Economy,134,244,236.0,0,1,5,5,2,2,5,5,5,1,3,1,5,5
101461,101462,Male,22,First-time,Business,Business,345,0,0.0,0,5,3,5,1,5,1,2,4,4,4,5,4,5
104853,104854,Female,53,Returning,Business,Business,2170,18,7.0,0,0,5,4,1,4,5,4,5,3,4,0,4,4
28994,28995,Female,30,First-time,Business,Economy,954,0,0.0,1,1,2,1,3,1,3,1,3,3,1,1,3,5
96112,96113,Male,46,Returning,Business,Business,1069,16,18.0,1,1,4,5,1,5,4,5,5,3,5,1,5,5
44428,44429,Male,42,Returning,Business,Economy,542,21,8.0,2,2,1,2,2,4,2,4,2,2,4,2,2,3
5532,5533,Female,17,First-time,Business,Economy,404,0,0.0,0,0,3,0,2,2,5,4,5,5,1,0,5,1
56135,56136,Female,31,Returning,Business,Business,1400,0,0.0,5,5,3,5,5,4,5,3,5,5,4,5,5,5
81837,81838,Male,26,Returning,Personal,Economy,1501,0,0.0,2,4,3,4,3,3,5,2,5,5,3,3,5,3
13185,13186,Male,36,First-time,Business,Economy,542,202,184.0,0,2,3,3,2,5,3,3,3,2,1,2,3,2
103637,103638,Female,47,Returning,Business,Business,251,0,0.0,4,4,5,5,4,5,4,5,4,4,5,4,5,5
126078,126079,Female,42,Returning,Business,Business,600,1,0.0,5,5,3,4,5,2,3,2,2,5,2,2,2,2
126220,126221,Male,53,Returning,Business,Business,3959,0,0.0,4,2,5,4,4,3,5,4,4,4,3,4,3,3
123215,123216,Female,49,Returning,Personal,Economy,631,13,17.0,4,3,3,4,5,4,4,3,4,2,4,3,4,4
53648,53649,Male,47,Returning,Business,Economy Plus,1874,20,3.0,5,5,5,5,5,2,5,3,5,5,2,5,5,4
15727,15728,Female,60,Returning,Personal,Economy,419,0,12.0,5,5,4,2,4,2,4,5,3,4,2,4,2,2
61310,61311,Female,53,Returning,Business,Business,2291,4,3.0,1,1,4,4,1,4,4,4,4,4,4,1,4,4
12407,12408,Male,39,Returning,Business,Economy,201,20,24.0,1,1,2,3,1,3,3,5,3,3,4,3,3,3
104092,104093,Male,66,Returning,Personal,Economy,588,8,9.0,5,1,4,1,4,4,3,2,3,3,4,1,3,5
123506,123507,Male,61,Returning,Personal,Economy,2125,0,0.0,3,4,3,4,4,5,5,2,5,5,3,4,5,5
68903,68904,Male,29,Returning,Personal,Economy,1061,0,0.0,5,3,5,3,3,5,1,2,1,1,4,3,1,5
122725,122726,Female,55,Returning,Business,Business,3136,56,61.0,4,4,4,4,4,4,4,4,3,5,4,4,4,4
79092,79093,Female,43,Returning,Personal,Economy,226,1,0.0,5,0,3,5,2,5,5,0,5,5,5,1,5,5
124191,124192,Female,30,Returning,Business,Business,2176,2,20.0,2,2,3,5,2,3,5,2,5,5,4,2,5,4
80337,80338,Male,26,Returning,Business,Business,2139,2,0.0,5,5,3,4,5,4,4,4,4,4,5,5,4,4
129244,129245,Male,41,Returning,Business,Business,2163,60,70.0,3,3,3,3,3,3,4,3,4,5,3,3,3,3
10266,10267,Female,65,Returning,Personal,Business,270,0,0.0,4,4,3,5,1,1,4,4,5,2,1,4,1,1
113871,113872,Female,52,Returning,Personal,Economy,1489,23,11.0,3,3,2,3,4,4,3,3,3,4,4,3,4,4
77348,77349,Female,24,First-time,Business,Economy,626,3,0.0,0,5,4,0,3,3,3,3,3,3,5,5,3,5
100723,100724,Female,40,Returning,Business,Business,3984,12,4.0,2,2,5,5,2,5,4,5,3,5,5,2,5,5
99234,99235,Female,26,Returning,Business,Economy,541,0,11.0,5,5,1,2,5,2,3,5,2,2,3,2,2,4
114817,114818,Female,42,Returning,Business,Business,2986,13,0.0,2,2,4,4,2,3,5,4,4,3,3,2,3,3
112817,112818,Female,39,Returning,Business,Business,1390,9,0.0,2,2,3,5,2,3,4,4,4,5,3,2,3,3
106194,106195,Female,70,Returning,Personal,Economy,436,13,3.0,3,2,3,3,3,2,3,2,3,4,2,2,2,1
70020,70021,Female,53,Returning,Business,Economy,583,0,0.0,4,4,1,4,4,4,4,4,3,2,4,4,4,4
79280,79281,Male,65,Returning,Personal,Business,2248,19,7.0,4,1,3,5,2,3,4,1,5,5,3,1,3,3
106549,106550,Male,10,Returning,Personal,Economy,719,0,0.0,4,4,4,4,5,4,4,3,4,4,5,3,4,5
14407,14408,Female,8,Returning,Personal,Economy Plus,900,0,0.0,4,3,2,3,1,3,2,1,2,2,3,3,2,1
93241,93242,Male,40,Returning,Business,Business,2330,11,7.0,3,3,4,5,3,4,4,4,3,5,4,3,4,4
74825,74826,Male,45,Returning,Personal,Economy Plus,1464,8,31.0,4,5,3,5,3,5,3,4,3,3,4,5,3,5
120366,120367,Female,53,Returning,Business,Business,2342,0,0.0,1,4,5,5,4,4,4,4,3,3,4,4,4,4
56166,56167,Male,29,First-time,Business,Economy,1400,0,0.0,4,4,1,4,3,4,2,1,2,2,4,4,2,4
7610,7611,Female,9,Returning,Personal,Economy,825,22,29.0,4,1,5,1,4,5,3,2,2,2,4,1,2,5
68040,68041,Female,23,Returning,Business,Business,2153,49,39.0,2,2,4,4,2,3,4,4,4,4,4,2,4,5
90167,90168,Female,38,Returning,Personal,Economy,1127,41,56.0,5,2,3,2,4,5,1,4,3,3,4,2,3,5
78523,78524,Female,23,Returning,Personal,Economy,526,30,26.0,5,2,4,2,3,4,2,5,2,2,5,1,2,4
45684,45685,Female,32,Returning,Business,Business,896,0,0.0,3,3,1,4,3,1,4,3,4,4,3,3,4,5
58254,58255,Male,60,Returning,Business,Business,2072,0,0.0,1,1,3,4,1,4,5,4,5,2,4,1,4,4
86577,86578,Female,39,First-time,Business,Business,1269,0,0.0,1,1,4,1,4,3,1,1,1,1,4,1,1,4
62163,62164,Male,45,Returning,Business,Economy,2425,8,0.0,3,5,3,3,5,1,2,2,2,2,3,3,2,2
58013,58014,Female,57,Returning,Business,Business,1721,19,24.0,5,5,5,3,5,4,5,4,5,3,4,5,4,4
36989,36990,Male,30,First-time,Business,Economy,667,20,21.0,4,5,2,5,4,4,2,1,2,2,3,4,2,3
64601,64602,Male,50,Returning,Business,Business,2000,55,54.0,5,0,5,5,2,1,5,1,3,5,1,0,1,1
52389,52390,Male,57,Returning,Personal,Economy,370,0,0.0,4,4,5,4,3,4,3,5,3,3,2,3,3,5
50444,50445,Male,22,First-time,Business,Economy,337,18,33.0,0,0,1,0,1,5,3,4,3,3,1,0,3,1
64082,64083,Female,65,Returning,Personal,Economy,919,0,0.0,1,1,3,3,3,3,3,1,1,3,3,1,3,1
1993,1994,Female,62,Returning,Personal,Economy,383,0,0.0,4,2,4,5,5,5,4,2,3,5,5,2,5,5
98075,98076,Female,26,Returning,Personal,Economy,1449,0,2.0,5,2,1,2,4,5,1,5,1,1,1,2,1,2
43966,43967,Female,61,Returning,Business,Business,2553,0,29.0,3,3,4,1,3,2,2,2,1,1,2,2,2,2
82288,82289,Female,43,Returning,Business,Business,1481,3,9.0,5,2,4,5,5,5,4,5,3,4,5,5,5,5
100454,100455,Male,39,First-time,Business,Business,180,10,5.0,4,4,4,4,2,5,4,5,4,4,4,4,4,5
89669,89670,Male,26,First-time,Business,Economy,950,0,0.0,3,3,4,3,3,3,2,2,2,2,4,3,2,4
49660,49661,Female,43,Returning,Business,Economy,109,9,20.0,4,4,4,3,4,1,4,1,1,3,1,1,1,1
93632,93633,Male,14,Returning,Personal,Economy,704,0,0.0,3,3,2,3,2,4,5,3,5,5,2,3,5,3
9523,9524,Female,26,Returning,Personal,Business,296,24,0.0,3,5,4,5,4,1,5,3,5,5,4,1,5,4
119006,119007,Male,17,Returning,Personal,Economy,459,22,13.0,5,2,3,2,1,3,5,2,4,4,4,2,4,4
20008,20009,Female,67,Returning,Personal,Economy,599,20,30.0,4,3,4,1,2,4,4,3,5,3,4,3,4,4
36195,36196,Female,24,First-time,Business,Economy,280,0,26.0,0,4,5,4,4,5,3,2,3,3,4,4,3,4
2524,2525,Female,46,Returning,Business,Business,280,0,0.0,3,1,3,4,3,4,4,4,4,3,4,3,4,4
69242,69243,Male,39,Returning,Business,Business,3476,0,0.0,2,2,1,3,2,3,2,3,3,5,3,3,3,3
30050,30051,Male,47,Returning,Business,Business,1632,0,0.0,0,0,2,5,3,3,4,3,3,4,3,0,3,3
44644,44645,Male,48,Returning,Business,Business,2590,0,0.0,1,4,1,5,1,3,1,4,4,2,3,1,3,5
56294,56295,Male,67,Returning,Personal,Economy,2227,0,0.0,5,2,4,2,4,4,1,5,1,1,4,2,1,5
9935,9936,Male,25,Returning,Business,Economy,534,0,13.0,2,2,1,1,2,4,2,3,1,1,4,1,1,4
92135,92136,Male,48,Returning,Personal,Economy,1522,0,0.0,1,1,3,1,3,4,2,4,2,2,4,1,2,4
110657,110658,Female,60,Returning,Business,Business,2255,11,0.0,2,2,3,4,2,5,4,5,4,4,5,2,5,5
34160,34161,Female,43,Returning,Business,Economy,1046,0,0.0,0,0,4,3,3,4,4,1,2,3,4,1,4,4
91634,91635,Female,43,Returning,Business,Business,799,0,0.0,2,5,3,5,2,5,1,5,2,3,5,2,5,5
19625,19626,Female,29,Returning,Business,Business,2118,158,164.0,3,2,5,5,3,2,5,2,5,5,5,3,1,5
14158,14159,Female,43,Returning,Business,Business,620,0,0.0,5,5,5,4,5,3,4,3,4,4,3,5,3,3
90446,90447,Female,36,First-time,Business,Business,270,0,1.0,0,0,5,0,2,4,1,5,1,1,5,1,1,4
79255,79256,Male,38,Returning,Business,Business,3655,0,0.0,2,2,2,2,2,5,3,5,1,2,5,2,5,5
102940,102941,Male,48,Returning,Business,Business,719,0,13.0,5,5,3,5,5,5,5,5,5,4,5,5,5,5
36190,36191,Female,55,Returning,Personal,Business,280,0,0.0,3,4,1,2,3,3,2,4,2,3,3,3,3,1
69569,69570,Female,44,Returning,Business,Economy,2475,0,14.0,5,5,2,2,5,5,2,2,2,2,2,2,1,4
65224,65225,Male,40,Returning,Business,Business,247,0,4.0,4,5,4,5,4,5,4,5,4,3,5,4,5,5
71539,71540,Female,57,Returning,Business,Business,1801,0,0.0,2,2,4,4,2,5,4,4,5,5,5,2,5,5
29668,29669,Female,61,Returning,Personal,Economy,1448,5,0.0,5,2,2,4,3,3,5,2,2,5,3,2,3,2
19602,19603,Male,65,Returning,Personal,Economy Plus,173,0,0.0,2,3,2,3,3,4,4,5,4,4,4,3,4,4
33570,33571,Female,45,Returning,Business,Business,1562,5,27.0,4,4,3,3,4,4,4,4,3,5,4,4,4,4
129808,129809,Female,21,Returning,Personal,Economy,421,0,0.0,4,2,4,2,4,3,2,2,2,2,4,2,2,2
95425,95426,Male,50,Returning,Business,Business,248,13,20.0,0,0,4,4,4,5,5,5,3,4,5,0,5,5
55566,55567,Female,36,First-time,Business,Economy,395,0,0.0,0,3,5,3,2,5,5,2,5,5,3,3,5,5
16684,16685,Female,10,First-time,Business,Economy,488,93,63.0,2,3,1,3,4,1,3,5,3,3,3,3,3,3
70302,70303,Male,58,Returning,Business,Business,334,0,0.0,4,4,5,4,4,4,4,4,5,5,4,4,4,4
73890,73891,Female,30,First-time,Business,Business,1062,0,7.0,4,4,5,4,1,5,1,3,1,1,4,4,1,4
109346,109347,Female,62,Returning,Personal,Economy Plus,1072,100,88.0,4,3,4,4,2,1,5,3,5,2,1,2,1,1
40627,40628,Female,18,Returning,Personal,Economy,411,2,0.0,5,2,5,2,3,5,2,3,2,2,4,2,2,4
119091,119092,Female,65,Returning,Business,Business,1993,0,0.0,4,4,1,4,4,3,4,3,3,2,3,3,3,3
727,728,Male,16,First-time,Business,Economy,309,0,0.0,4,4,2,4,4,2,5,1,5,5,4,4,5,4
120607,120608,Female,25,Returning,Business,Economy,453,0,0.0,1,2,1,3,2,1,3,1,3,3,3,3,3,3
102420,102421,Male,23,Returning,Personal,Economy,197,1,0.0,4,2,1,2,4,1,1,2,1,1,3,2,1,4
129616,129617,Female,32,Returning,Business,Business,2420,0,0.0,4,4,3,4,4,5,4,3,4,4,5,4,4,5
37093,37094,Male,22,Returning,Business,Business,1046,0,0.0,1,1,5,5,1,5,5,3,5,5,3,1,5,3
105477,105478,Male,10,Returning,Personal,Economy,495,10,10.0,4,2,4,2,4,4,3,2,3,3,5,3,3,5
65610,65611,Male,32,Returning,Business,Business,3273,17,13.0,2,3,1,3,3,3,3,3,3,3,4,3,3,3
29520,29521,Female,15,Returning,Business,Business,1009,0,1.0,1,1,5,4,1,5,4,5,4,4,3,1,4,2
109739,109740,Female,41,Returning,Personal,Economy,680,0,0.0,4,3,4,3,2,3,4,4,4,4,5,4,4,4
106227,106228,Female,53,Returning,Personal,Economy,471,0,0.0,1,3,1,3,2,4,2,3,4,4,4,2,4,4
94065,94066,Male,46,Returning,Business,Business,2507,12,12.0,1,1,5,4,1,5,5,5,4,5,5,1,5,5
129015,129016,Female,22,Returning,Business,Business,2611,8,,3,3,5,4,3,4,4,3,4,4,4,3,4,3
110706,110707,Male,12,Returning,Personal,Economy Plus,837,13,15.0,4,3,4,3,4,4,3,3,2,2,4,2,2,5
18114,18115,Female,18,First-time,Business,Economy,629,0,0.0,0,1,4,1,1,2,3,1,3,3,1,1,3,5
102424,102425,Female,54,Returning,Personal,Economy,391,13,3.0,2,1,3,4,3,5,4,1,4,3,5,1,5,5
52694,52695,Male,54,Returning,Personal,Economy Plus,119,0,0.0,3,1,2,1,4,1,2,2,2,2,3,1,2,4
122341,122342,Female,23,Returning,Business,Business,1662,18,23.0,4,4,4,5,4,4,5,5,5,5,4,4,5,4
45719,45720,Female,43,Returning,Business,Business,452,63,43.0,1,1,5,5,1,2,2,2,5,2,2,1,2,2
17308,17309,Female,42,Returning,Business,Economy,403,0,0.0,2,2,4,3,2,1,3,1,3,3,1,1,1,1
23814,23815,Male,39,Returning,Personal,Economy,374,0,0.0,5,1,4,1,3,5,3,5,3,3,2,1,3,2
80703,80704,Male,27,Returning,Personal,Economy,874,0,0.0,5,3,2,3,3,4,1,2,1,1,2,3,1,4
27145,27146,Female,25,First-time,Business,Economy,714,0,0.0,4,4,5,2,3,4,5,5,5,4,3,5,3,5
108418,108419,Female,45,Returning,Business,Business,1444,0,0.0,4,3,5,5,4,4,5,5,4,2,4,4,4,4
123363,123364,Male,23,Returning,Business,Business,644,39,22.0,3,3,1,3,3,2,3,3,3,3,4,3,3,3
106348,106349,Male,21,Returning,Personal,Business,674,11,16.0,5,2,5,2,3,5,1,3,2,2,4,3,2,4
54524,54525,Male,29,Returning,Personal,Economy,925,0,0.0,4,2,1,2,4,5,4,1,4,4,1,2,4,2
94869,94870,Female,43,Returning,Business,Business,189,0,0.0,5,0,4,4,4,4,5,3,3,3,4,0,4,3
63115,63116,Female,20,First-time,Business,Economy,967,0,1.0,2,2,1,2,2,1,3,3,3,3,1,2,3,3
70216,70217,Female,39,Returning,Business,Business,258,83,98.0,4,4,4,5,4,4,5,5,5,3,4,4,4,4
6382,6383,Female,76,Returning,Business,Business,3316,0,0.0,5,5,4,3,5,2,3,2,2,2,2,1,2,1
110288,110289,Female,52,Returning,Business,Business,925,54,44.0,1,1,3,5,1,4,4,4,3,4,4,1,4,4
7718,7719,Male,42,Returning,Business,Business,1525,0,0.0,4,3,5,5,4,5,5,5,5,4,5,4,5,5
60901,60902,Female,46,Returning,Business,Business,3993,0,25.0,3,2,3,4,2,5,4,5,4,2,5,2,5,5
22458,22459,Female,38,Returning,Personal,Economy,143,0,0.0,1,4,2,4,2,4,5,2,5,5,3,4,5,3
28867,28868,Male,23,Returning,Business,Business,954,0,0.0,2,2,5,4,2,1,4,1,4,4,2,2,4,1
16432,16433,Female,28,Returning,Business,Business,3098,0,5.0,2,5,1,2,2,1,2,4,2,2,3,2,2,3
24893,24894,Male,27,Returning,Personal,Economy,397,4,0.0,5,1,4,1,4,1,1,3,1,1,3,1,1,2
25807,25808,Male,28,Returning,Business,Economy Plus,762,0,0.0,4,4,1,5,4,1,5,3,5,5,2,5,5,3
123643,123644,Female,60,Returning,Business,Business,2863,9,5.0,2,2,5,5,2,5,4,5,3,3,5,2,5,4
28189,28190,Female,48,Returning,Personal,Economy,550,0,0.0,0,2,4,5,4,1,5,2,3,4,1,2,1,1
35892,35893,Female,33,Returning,Personal,Economy,1065,0,0.0,5,2,4,2,2,5,1,5,1,1,5,2,1,4
81109,81110,Male,24,First-time,Business,Economy,991,0,0.0,1,1,4,1,3,5,5,4,5,5,5,1,5,4
6508,6509,Female,51,Returning,Business,Business,2425,0,0.0,1,1,5,5,1,5,4,5,4,2,5,1,5,5
90435,90436,Male,42,Returning,Business,Business,545,0,0.0,1,1,4,4,1,5,5,4,5,4,5,1,5,5
95880,95881,Male,19,First-time,Business,Economy,759,54,43.0,4,4,1,4,3,4,2,2,2,2,3,4,2,4
105048,105049,Male,35,Returning,Personal,Economy,255,27,14.0,5,0,3,0,1,5,1,5,1,1,5,2,1,4
39350,39351,Male,13,Returning,Personal,Business,896,197,182.0,4,2,5,5,3,3,5,5,5,2,5,2,3,4
88228,88229,Male,40,Returning,Business,Business,404,0,0.0,3,5,5,4,3,4,4,4,5,3,4,3,4,4
100245,100246,Male,50,Returning,Business,Business,971,0,0.0,3,3,3,5,3,5,5,5,4,5,5,3,5,5
89682,89683,Female,48,Returning,Business,Economy,669,0,0.0,3,3,5,5,3,4,4,4,4,2,4,4,4,4
90886,90887,Male,60,Returning,Business,Business,515,0,0.0,2,2,5,5,2,4,4,4,5,2,4,2,4,4
37653,37654,Female,26,Returning,Personal,Economy,944,5,0.0,3,2,2,2,3,3,3,5,2,2,4,2,2,3
68412,68413,Male,23,Returning,Business,Business,2517,0,0.0,0,0,4,0,3,1,5,3,5,5,4,1,5,4
9080,9081,Female,24,Returning,Personal,Economy,160,0,0.0,3,1,1,1,2,3,5,5,3,3,1,1,3,5
109044,109045,Male,26,First-time,Business,Business,488,0,0.0,2,2,4,2,1,4,4,5,4,4,4,2,4,5
102661,102662,Male,37,Returning,Business,Business,2646,27,24.0,1,1,3,4,1,5,5,5,3,5,5,1,5,5
26135,26136,Male,22,Returning,Business,Economy,515,5,6.0,5,0,5,0,3,2,1,3,3,3,2,0,3,5
9365,9366,Male,67,Returning,Business,Economy,401,0,0.0,5,5,1,1,5,4,1,3,1,1,2,1,1,3
54038,54039,Female,21,First-time,Business,Economy,1416,16,5.0,1,1,3,1,3,2,2,4,2,2,4,1,2,5
43670,43671,Male,30,First-time,Business,Economy,695,155,141.0,3,3,1,1,3,3,1,4,1,3,3,3,3,4
65184,65185,Male,22,Returning,Personal,Economy,247,0,9.0,4,1,1,1,3,4,3,1,3,3,4,1,3,4
29538,29539,Female,53,Returning,Business,Business,2472,0,0.0,2,2,5,4,2,5,5,5,4,5,5,2,5,5
108310,108311,Female,46,Returning,Business,Business,1728,65,74.0,4,4,3,3,4,5,5,5,3,3,5,4,5,5
125893,125894,Female,53,Returning,Personal,Economy,992,28,20.0,4,5,5,4,4,4,5,5,4,5,4,5,4,4
107135,107136,Male,59,Returning,Business,Economy Plus,442,0,0.0,4,4,3,3,4,3,3,2,3,3,3,3,3,4
14175,14176,Male,36,Returning,Business,Business,2612,16,42.0,4,4,1,5,4,5,2,5,1,1,5,4,5,5
18567,18568,Male,25,First-time,Business,Economy,383,0,8.0,2,1,4,1,3,2,3,3,3,3,3,1,3,4
109502,109503,Male,47,Returning,Business,Business,861,13,15.0,2,2,5,4,2,3,5,4,3,3,3,2,3,3
19926,19927,Female,47,Returning,Personal,Economy,343,0,0.0,5,1,2,1,2,4,2,1,1,4,4,1,4,4
79227,79228,Male,57,Returning,Business,Business,1521,0,0.0,4,3,3,5,4,2,4,3,5,4,2,4,2,2
98145,98146,Female,24,Returning,Business,Business,3037,16,5.0,3,3,3,2,3,4,2,4,2,2,4,3,2,4
41455,41456,Male,31,Returning,Personal,Business,1269,0,0.0,4,2,3,2,3,1,2,2,2,2,3,1,2,3
57548,57549,Male,30,Returning,Personal,Economy Plus,413,0,11.0,5,2,4,2,2,4,3,3,4,4,4,2,4,4
121923,121924,Male,49,Returning,Business,Business,413,0,0.0,2,2,4,5,2,4,5,4,3,2,4,2,4,4
78518,78519,Female,61,Returning,Personal,Economy,666,0,13.0,2,3,3,4,3,1,4,3,1,5,1,3,1,1
51919,51920,Male,25,Returning,Business,Economy Plus,601,0,0.0,4,1,5,4,4,5,5,5,4,4,2,4,4,3
